index,Image Name,Caption Number,Urdu Caption
49,103195344_5d2dc613a3.jpg,4,بیگ والا آدمی ایک عمارت کے صحن میں ایک مجسمے کے سامنے بیٹھ کر پڑھتا ہوا
50,1032460886_4a598ed535.jpg,0,ایک شخص ایک فلک بوس عمارت کے سامنے کھڑا ہے
51,1032460886_4a598ed535.jpg,1,ایک شخص ایک فلک بوس عمارت کے سامنے کھڑا ہے
52,1032460886_4a598ed535.jpg,2,ایک شخص ایک بہت ہی اونچی عمارت کے سامنے کھڑا ہے۔
53,1032460886_4a598ed535.jpg,3,سرخ قمیص والے آدمی کے پیچھے ایک بڑی فلک بوس عمارت ہے۔
54,1032460886_4a598ed535.jpg,4,ایک شخص کیمرے کے سامنے چل رہا ہے جس کے فاصلے پر ایک فلک بوس عمارت ہے
55,1042590306_95dea0916c.jpg,0,ایک مرد اور عورت کیمرے کے لئے پوز دے رہے ہیں جبکہ دوسرا مرد انکو دیکھ رہا ہے
56,1042590306_95dea0916c.jpg,1,ایک آدمی نے کچھ عمارتوں کے سامنے اپنے منہ تک ایک عورت کا ہاتھ تھام رکھا ہے جبکہ دوسرا آدمی انکو دیکھ رہا ہے
57,1042590306_95dea0916c.jpg,2,ایک تصویر کے لئے ایک کثیر الثانی جوڑے پوس بنائے ہوئے
58,1042590306_95dea0916c.jpg,3,ایشیائی مرد اور سنہرے بالوں والی عورت ہاتھ تھامے  ہوے ، پس منظر میں ایک آدمی انکو دیکھ رہا ہے
59,1042590306_95dea0916c.jpg,4,نیلی کمیز میں ایک آدمی کالی جیکٹ میں ایک عورت کا ہاتھ کاٹ رہا ہے جبکہ ایک آدمی انکو دیکھ رہا ہے
60,1045521051_108ebc19be.jpg,0,ایک چھوٹا سا ٹیلیویژن دیکھتے وقت ایک شخص باہر کا کھانا کھا رہا ہے
61,1045521051_108ebc19be.jpg,1,ایک شخص فرش پر بیٹھ کر ٹیلی ویژن کے سامنے کھانا کھا رہا ہے
62,1045521051_108ebc19be.jpg,2,ایک ٹیلیویژن جس پر لڑکی کی تصویر ہے۔
63,1045521051_108ebc19be.jpg,3,ایک نوجوان ٹیلی ویژن کے سامنے فاسٹ فوڈ کے ساتھ فرش پر بیٹھا ہے
64,1045521051_108ebc19be.jpg,4,کوئی ٹی وی کے سامنے لیٹا کھانا کھا رہا ہے
65,1057210460_09c6f4c6c1.jpg,0,ایک آدمی کھڑکی کے پاس کھڑا ہو کر اپنی شرٹ اتار رہا ہے
66,1057210460_09c6f4c6c1.jpg,1,ٹینک ٹاپس میں ایک شخص ایک دروازے کے پاس کھڑا ہے
67,1057210460_09c6f4c6c1.jpg,2,ایک شخص لفٹ کے پاس کھڑے ہو کر شرٹ پہن رہا ہے
68,1057210460_09c6f4c6c1.jpg,3,ایک آدمی سر نیچے کر کے لفٹ کے پاس کھڑا ہے۔
69,1057210460_09c6f4c6c1.jpg,4,ایک شخص لفٹ کے پاس کھڑے ہو کر شرٹ پہن رہا ہے
70,1067675215_7336a694d6.jpg,0,نیلی شارٹس پہنے ایک آدمی گلی میں لیٹا ہوا ہے
71,1067675215_7336a694d6.jpg,1,نیلی شارٹس پہنے ایک شخص باہر پارکنگ میں لیٹا ہوا ہے
72,1067675215_7336a694d6.jpg,2,بھاری ٹریفک کے دوران ایک شخص سڑک کے درمیان میں لیٹا ہوا ہے
73,1067675215_7336a694d6.jpg,3,ایک شخص براؤن گاڑی اور کھلے دروازے والی پیلا رنگ کی گاڑی کے درمیان پارکنگ میں رکھی ہوئی چٹائی پر لیٹا ہوا ہے
74,1067675215_7336a694d6.jpg,4,ایک بغیر کمیز کے آدمی ایک مصروف گلی کے بیچ لیٹا ہوا ہے
75,1075867198_27ca2e7efe.jpg,0,بھوری رنگ کی قمیض اور سیاه شارٹس والا ایک شخص ساحل پر اپنے دو کالے کتوں کے ساتھ کھیل رہا ہے
76,1075867198_27ca2e7efe.jpg,1,ساحل سمندر پر دو کالے کتوں سمید شارٹس میں ایک شخص جس نے کتوں پھینکنے  کے  لیے ایک گیند تھامے ہوئی  ہے
77,1075867198_27ca2e7efe.jpg,2,ایک آدمی ساحل سمندر پر دو کالے کتوں کے ساتھ کھیل رہا ہے
78,1075867198_27ca2e7efe.jpg,3,ایک آدمی ساحل سمندر پر دو کتوں کے ساتھ
79,1075867198_27ca2e7efe.jpg,4,ساحل سمندر پر آدمی دو کتوں کے ساتھ
80,1077931201_1e0bb83105.jpg,0,ویٹ سوٹ میں ایک شخص ویٹ سوٹ پہنے ہوئے بچے کو ہوا میں پھینک رہا ہے
81,1077931201_1e0bb83105.jpg,1,ویٹ سوٹ میں ایک شخص ایک چھوٹا بچا ہوا میں پھینک رہا ہے اور اسے پکڑنے کے لئے تیار ہے
82,1077931201_1e0bb83105.jpg,2,پانی میں ایک شخص ایک چھوٹے سے لڑکے کو ہوا میں پھینک رہا ہے اور اس کے نیچے آنے کا انتظار کررہا ہے تاکہ وه اسے پکڑ سکے
83,1077931201_1e0bb83105.jpg,3,ایک آدمی تالاب میں ہے اور ایک چھوٹے لڑکے کو ہوا میں پھینک رہا ہے
84,1077931201_1e0bb83105.jpg,4,جب پانی کی بوندیں اڑ رہی ہیں ، ایک شخص ایک چھوٹے بچے کو ہوا میں پھینک رہا ہے
85,10815824_2997e03d76.jpg,0,ایک سنہرے بالوں والا گھوڑا اور کالی سویٹ شرٹ میں ایک سنہرے بالوں والی لڑکی ایک بیرل میں لگی آگ کو  دیکھ رہے  ہیں
86,10815824_2997e03d76.jpg,1,ایک لڑکی اور اس کا گھوڑا آگ کے پاس کھڑے ہیں
87,10815824_2997e03d76.jpg,2,ایک لڑکی آگ کے پیچھے گھوڑے کی لگام تھامے ہوے ہے
88,10815824_2997e03d76.jpg,3,ایک آدمی ، ایک لڑکی اور دو گھوڑے باقابو آگ کے پاس کھڑے ہیں
89,10815824_2997e03d76.jpg,4,دو لوگ اور دو گھوڑے آگ کو دیکھ رہے ہیں
90,1082379191_ec1e53f996.jpg,0,ایک خاتون اور ایک کمیز کے بغیر والا آدمی بندر گاه پر بیٹھے ہیں
91,1082379191_ec1e53f996.jpg,1,ایک خاتون اور ایک آدمی بندر گاه پر اکٹھے بیٹھے ہیں
92,1082379191_ec1e53f996.jpg,2,ایک خاتون اور ایک آدمی بندر گاه پر بیٹھے ہیں
93,1082379191_ec1e53f996.jpg,3,ایک جھیل کے ساتھ ڈیک پر بیٹھے ایک مرد اور عورت
94,1082379191_ec1e53f996.jpg,4,ایک کمیز کے بغیر والا آدمی اور ایک خاتون بندر گاه پر بیٹھے ہیں
95,1088767354_2acee738cf.jpg,0,سرخ لباس میں ایک عورت ایک مرد اور عورت کے ساتھ کھڑی ہے
96,1088767354_2acee738cf.jpg,1,ایک سرخ رنگ کا لباس پہنے ہوئے ایک عورت سڑک پر کھڑے دو دیگر لوگوں کو دیکھ رہی ہے
97,1088767354_2acee738cf.jpg,2,سرخ رنگوں میں ملبوس لباس اور پنکھوں والی ایک نوجوان عورت فٹ پاتھ پر کھڑی ہے
98,1088767354_2acee738cf.jpg,3,سالمن رنگ کی بکنی میں لڑکی دو نوجوانوں کے ساتھ کھڑی ہے جس میں سے ایک نے سیاه لباس پہنا ہوا ہے اور دوسرا پاپ پی رہا ہے
99,1088767354_2acee738cf.jpg,4,دو نوجوان لوگوں کے پاس ایک سرخ رنگ کی بیکنی اور سرخ رنگ کی پٹی والی ہیڈریس پہنے ایک نوجوان خاتون پوھنچتی ہے
100,109738763_90541ef30d.jpg,0,سنو موٹر پر سوار ایک شخص چھلانگ کے درمیان میں
101,109738763_90541ef30d.jpg,1,ایک سنو موٹر ہوا میں اڑتا ہوا
102,109738763_90541ef30d.jpg,2,لمبی درختوں کی دیودار کے سامنے برف موٹر پر ایک سوار ہوا میں اڑتا ہے
103,109738763_90541ef30d.jpg,3,ایک سوار نے برف موٹر سائیکل کی دیہی علاقوں میں اونچی چھلانگ لگا دی
104,109738763_90541ef30d.jpg,4,آدمی ہوا میں ہے۔
105,109738916_236dc456ac.jpg,0,لوگ برف موٹر سائیکلوں پر گھوم رہے ہیں
106,109738916_236dc456ac.jpg,1,لوگ اسنو موٹر سائیکل پر سوار ہوتے ہوئے ہیلمٹ اور چشمیے پہن کر پوس کر رہے ہیں
107,109738916_236dc456ac.jpg,2,برف سے چلنے والی سواری پر بہت سے لوگ وقفہ لئے ہوے ہیں
108,109738916_236dc456ac.jpg,3,تین افراد اور دو برف موٹر سائیکل
109,109738916_236dc456ac.jpg,4,دو ہیلمٹ والے آدمی پیلے رنگ کے اسنو موٹر سائیکل پر بیٹھے ہیں جبکہ دوسرا آدمی پیچھے کھڑا دیکھ رہا ہے۔
110,109823395_6fb423a90f.jpg,0,ایک چار پہیوں والی گاڑی ایک خالی کھیت میں چھلانگ رہی ہے
111,109823395_6fb423a90f.jpg,1,ایک چار پہیوں والی گاڑی میں ایک شخص ہوا میں اڑ رہا ہے
112,109823395_6fb423a90f.jpg,2,ایک شخص ایک بڑے خالی کھیت میں نارنگی ایٹوی پر سوار ہے۔
113,109823395_6fb423a90f.jpg,3,آدمی تمام خطے کی گاڑی کے ساتھ کود رہا ہے
114,109823395_6fb423a90f.jpg,4,ایک شخص atv میں ہوا میں ہے
115,109823397_e35154645f.jpg,0,ایک شخص ہوا میں ہے جبکہ وو atv میں سوار ہے
116,109823397_e35154645f.jpg,1,چار پہیوں والی گاری پر سوار ایک شخص چھوٹی عمارت کے قریب چھلانگ لگا رہا ہے۔
117,109823397_e35154645f.jpg,2,ایک سفید ڈھانچے کے سامنے کسی کھیت میں ایک اے ٹی وی ہوا میں ہے۔
118,109823397_e35154645f.jpg,3,ٹین جیکٹ میں ملبوس ایک شخص چھوٹی عمارت کے سامنے کٹی ہوئی کارن فیلڈ کے اوپر ایک چار پہیوں والی گاری کو ہوا میں اچھال رہا ہے
119,109823397_e35154645f.jpg,4,چار پہیوں والی گاڑی پر سوار ای شخص ہوا میں ہے
120,110595925_f3395c8bd6.jpg,0,ایک پہاڑی کی طرف مڑے ہوئے سڑک پر ایک سائیکل سوار سائیکل پر سوار ہے
121,110595925_f3395c8bd6.jpg,1,تیز رفتار گھماؤ والی سڑک پر ایروڈینیٹک گیئر پہنے سائیکل سوار
122,110595925_f3395c8bd6.jpg,2,پہاڑی سائیکل پر سوار ایک شخص پہاڑی پر چڑھ رہا ہے
123,110595925_f3395c8bd6.jpg,3,ایک آدمی سڑک پر سائیکل چلا رہا ہے جبکہ قریب ہی ایک پہاڑی پر گائیں چر رہی ہیں۔
124,110595925_f3395c8bd6.jpg,4,ایک سائیکل سوار شخص ایک سڑک کے موڑ پر سواری چلا رہا ہے
125,111497985_38e9f88856.jpg,0,سبز وادی کے پس منظر میں ایک بچہ چٹان چڑھ رہا ہے
126,111497985_38e9f88856.jpg,1,دھاری دار قمیض والی ایک عورت پہاڑ پر چڑھ رہی ہے
127,111497985_38e9f88856.jpg,2,ایک نوجوان پتھریلی پہاڑی پر چڑھتا ہے۔
128,111497985_38e9f88856.jpg,3,ایک دھاری دار قمیض والا شخص پہاڑ پر ایک رسی پکڑ کر لٹک رہا ہے
129,111497985_38e9f88856.jpg,4,دھاری دار قمیض والا شخص پہاڑ پر چڑھ والا رہا ہے
130,111537217_082a4ba060.jpg,0,ایک آدمی چٹان کی دیوار پر چڑھ رہا ہے
131,111537217_082a4ba060.jpg,1,پہاڑ پر چڑھتا ہوا ایک آدمی۔
132,111537217_082a4ba060.jpg,2,ایک شخص پہاڑ پر چڑھ رہا ہے
133,111537217_082a4ba060.jpg,3,سرخ جوتے ، سفید قمیض اور گرے پتلون میں ایک آدمی پہاڑ پر چڑھ رہا ہے
134,111537217_082a4ba060.jpg,4,سفید ٹی شرٹ اور جینز والا نوجوان چٹان کی دیوار پر چڑھ رہا ہے۔
135,111537222_07e56d5a30.jpg,0,نیلے رنگ کا ہیلمٹ اور ہیڈ لیمپ پہنے ہوئے کوہ پیما چٹان کے چہرے پر ایک رسی سے لٹک رہا ہے
136,111537222_07e56d5a30.jpg,1,ایک آدمی ایک پتھریلی دیوار پر چڑھ رہا ہے
137,111537222_07e56d5a30.jpg,2,ایک چٹانوں پر چڑھنے والا شخص ایک بڑی چٹان پر چڑھ رہا ہے
138,111537222_07e56d5a30.jpg,3,جامنی رنگ کی پتلون والی ایک عورت چٹان پر چڑھ رہی ہے
139,111537222_07e56d5a30.jpg,4,نیلی ہیلمیٹ اور جامنی رنگ کی پتلون والا شخص چٹان پر چڑھ رہا ہے۔
140,112178718_87270d9b4d.jpg,0,ایک لڑکا ریت میں کھڑا ہے اس کے پیچھے اسنوبورڈ ہے۔
141,112178718_87270d9b4d.jpg,1,ایک شخص ساحل سمندر پر ایک سرفبورڈ پکڑے ہوے ہے
142,112178718_87270d9b4d.jpg,2,ایک شخص ریت میں اپنا سنو بورڈ تھامے ہوے ہے
143,112178718_87270d9b4d.jpg,3,ایک سرفبورڈ والا آدمی ریت میں کھڑا ہے۔
144,112178718_87270d9b4d.jpg,4,آدمی سفید ریت پر کھڑا ہے اور اسنوبورڈ تھامے ہوے ہے۔
145,1124448967_2221af8dc5.jpg,0,ایک آدھا ننگا آدمی باہر اپنی کرسی پر سو رہا ہے۔
146,1124448967_2221af8dc5.jpg,1,ایک بوڑھا آدمی بیٹھا ایک عمارت کے باہر ایک آنگن پر آرام کر رہا ہے جہاں بہت سے سائیکل کھڑے ہوے ہیں۔
147,1124448967_2221af8dc5.jpg,2,ایک سفید ٹوپی میں ایک کمیض کے بغیر والا آدمی تین کھڑی سائیکلوں کے قریب کرسی پر آرام کر رہا ہے۔
148,1124448967_2221af8dc5.jpg,3,آدمی سڑک پر تہہ کرسی پر آرام کر رہا ہے۔
149,1124448967_2221af8dc5.jpg,4,بغیر کمیز کے، نیلے رنگ کی پتلون اور سفید ٹوپی پہنے ایک بوڑھا آدمی باہر کرسی پر بیٹھا ہوا ہے
150,1132772170_600610c5df.jpg,0,ایک بچہ آدمی کے پیچھے ایک سے دوسرے بستر پر چھلانگ لگا رہا ہے
151,1132772170_600610c5df.jpg,1,ایک آدمی اپنے بازوؤں کو باندھے کھڑا کچھ دیکھ رہا ہے جبکہ اس کے پیچھے ایک شخص کمرے میں دو بیڈوں میں سے ایک پر کود رہا ہے۔
152,1132772170_600610c5df.jpg,2,ایک آدمی جو دو بستروں کے بیچ پیلا قمیض پہنے کھڑا ہے جس کے پس منظر میں ایک لڑکا چھلانگ لگا رہا ہے
153,1132772170_600610c5df.jpg,3,ایک چھوٹا بچہ بستر پر چھلانگ لگا رہا ہے جبکہ ایک شخص دوسری طرح دیکھ رہا ہے
154,1132772170_600610c5df.jpg,4,ایک آدمی بیڈروم میں کھڑا ہے جبک ایک چھوٹا لڑکا بیڈ پر چھلانگیں لگا رہا ہے
155,1141718391_24164bf1b1.jpg,0,ایک پُل جو سبز پودوں پر ہے اور اس پر ایک مرد اور ایک عورت
156,1141718391_24164bf1b1.jpg,1,ایک مرد اور ایک عورت چاروں طرف سبزے کے ساتھ ایک رسی کے پل کے اوپر سے گزر رہے ہیں
157,1141718391_24164bf1b1.jpg,2,ایک مرد اور ایک عورت ایک رسی پل کو پار کر رہے ہیں
158,1141718391_24164bf1b1.jpg,3,ایک مرد اور ایک عورت رسی کے پُل کو پار کررہے ہیں
159,1141718391_24164bf1b1.jpg,4,ایک عورت اور مرد لکڑی کے پل کو پار کر رہے ہیں جبکہ پس منظر میں ایک احتیاطی نشان ہے
160,1141739219_2c47195e4c.jpg,0,ایک خاندان پینٹ وین میں جمع ہے
161,1141739219_2c47195e4c.jpg,1,ایک لڑکی ایک نیلے رنگ کے ٹرک کے پہلو سے نیچے اتر رہی ہے جبکہ دیگر لوگ دیکھ رہے ہیں
162,1141739219_2c47195e4c.jpg,2,ایک مرد ایک لڑکی کو رنگین ٹرک سے نیچے جانے میں مدد کررہا ہے جب کہ ایک عورت اور تین بچے دیکھ رہے ہیں۔
163,1141739219_2c47195e4c.jpg,3,ایک رنگین بس سڑک کے کنارے رکی ہوئی ہے جبکہ اسکے اندر مسافر چڑھ رہے ہیں
164,1141739219_2c47195e4c.jpg,4,دو خواتین اور چار بچے ایک تیز پینٹ والے ٹرک کے پاس کھڑے ہیں
165,1142283988_6b227c5231.jpg,0,ایک سنہرے بالوں والی عورت ایک شخص کے ساتھ گلابی لباس میں پوز کر رہی ہے
166,1142283988_6b227c5231.jpg,1,ایک مسکراتی ہوئی عورت ایک سور کے لباس والے شخص کو تھامے ہوئے ہے
167,1142283988_6b227c5231.jpg,2,ایک نوجوان عورت نے ایک نوجوان کو گلے لگایا جس نے گلابی لباس پہن رکھا ہے۔
168,1142283988_6b227c5231.jpg,3,تقریب میں سنہرے بالوں والی عورت گلابی لباس والے نوجوان کو گلے مل رہی ہے
169,1142283988_6b227c5231.jpg,4,دو افراد گلے مل رہے ہیں اور ایک نے گلابی رنگ کا لباس پہن رکھا ہے
170,1143373711_2e90b7b799.jpg,0,ایک سائیکل سوار ایک گلی کو پار کررہا ہے۔
171,1143373711_2e90b7b799.jpg,1,ایک سائیکل سوار سڑک عبور کرنے کے لئے تیار ہو رہا ہے۔
172,1143373711_2e90b7b799.jpg,2,ایک بائیکر ایک مصروف گلی میں بائیک چلا رہا ہے
173,1143373711_2e90b7b799.jpg,3,نیلی اور سفید بائیک گئر پہنے ایک شخص مصروف گلی میں سوار ہے
174,1143373711_2e90b7b799.jpg,4,سائیکل کا ہیلمیٹ پہنے ایک سائیکل سوار سڑک پر نیچے جا رہا ہے
175,1144288288_e5c9558b6a.jpg,0,شارٹس پہنے ایک آدمی ہیڈسیٹ لگا کر سڑک پر گھوم رہا ہے
176,1144288288_e5c9558b6a.jpg,1,نیلی شارٹس والا اور واک مین پہنے ہوئے ایک شخص دوڑ رہا ہے
177,1144288288_e5c9558b6a.jpg,2,سفید قمیض اور نیلی رنگ کی شارٹس والی خاتون نے ہیڈ فون پہن رکھے ہیں
178,1144288288_e5c9558b6a.jpg,3,ایک عورت ہیڈ فون پہنے سڑک پر چل رہی ہے۔
179,1144288288_e5c9558b6a.jpg,4,سفید ٹوپی اور قمیض پہنے ہوئے ایک عورت کونے میں پودوں کی دکان کے ساتھ ایک گلی میں ٹہل رہی ہے۔
180,1149179852_acad4d7300.jpg,0,بغیر شرٹ والا ایک آدمی سبز اور پیلا ویگن کھینچنے والے ایک بھورے رنگ کے گھوڑے کی رہنمائی کررہا ہے۔
181,1149179852_acad4d7300.jpg,1,کمیز کے بغیر ایک آدمی سڑک کے ساتھ ایک گاڑی کھینچتے ہوئے گھوڑے پر سوار ہے
182,1149179852_acad4d7300.jpg,2,ایک کمیز کے بغیر آدمی ایک گھوڑا لے کر جارہا ہے جو کہ ایک گاڑی کھینچ رہا ہے
183,1149179852_acad4d7300.jpg,3,سڑک پر ایک بغیر کمیز والا آدمی ایک گھوڑا سے کھینچی جانے والی ایک چھوٹی ویگن کی راہنمائی کر رہا ہے
184,1149179852_acad4d7300.jpg,4,ایک شرٹ کے بغیر ایک گھوڑے اور بگی کو سڑک پر چلا رہا ہے۔
185,114949897_490ca7eaec.jpg,0,ایک لڑکے نے ایک گیند کو جال میں مارا
186,114949897_490ca7eaec.jpg,1,ایک بچہ بیس بال کو جال میں مارنے کی مشق کر رہا ہے ، جبکہ دو بالغ مرد اسکو دیکھ رہے ہیں۔
187,114949897_490ca7eaec.jpg,2,ایک آدمی نے جال پکڑ رکھا ہے جبکہ لڑکا اس میں گیند مار رہا ہے
188,114949897_490ca7eaec.jpg,3,ایک آدمی نے بیس بال کھیلتے ہوے ایک بچے کے لئے نیٹ کو پکڑ رکھا ہے
189,114949897_490ca7eaec.jpg,4,تین لوگوں نے بیٹنگ کا پنجرا لگایا
190,1159574340_99ba8c3c59.jpg,0,ایک بچہ لکڑی کے بنے علاقے میں جھیل میں کود رہا ہے جبکہ دوسرا بچہ ساحل پر کھیل رہا ہے۔
191,1159574340_99ba8c3c59.jpg,1,ایک بچہ جوتوں سمیت پانی میں چھلانگ رہا ہے
192,1159574340_99ba8c3c59.jpg,2,ایک بچہ پانی کے تالاب میں کود رہا ہے۔
193,1159574340_99ba8c3c59.jpg,3,جوتے میں چھوٹا لڑکا پانی میں کود رہا ہے۔
194,1159574340_99ba8c3c59.jpg,4,آدمی اپنے جوتے پہن کر پانی میں چھلانگ لگا رہا ہے\
195,1160034462_16b38174fe.jpg,0,تنکے کی ٹوپی میں ایک بزرگ شخص بینچ پر بیٹھا ہے
196,1160034462_16b38174fe.jpg,1,ایک بوڑھا شخص پارک کے بینچ پر تنہا بیٹھا ہوا ہے۔
197,1160034462_16b38174fe.jpg,2,تنکے کی ٹوپی میں ایک بوڑھا شخص پارک کے بینچ پر بیٹھا ہے۔
198,1160034462_16b38174fe.jpg,3,بھوری رنگ کی ہیٹ میں بوڑھا آدمی بینچ پر بیٹھا ہے۔
